"filename", "language", "JavaScript", "SQL", "HTML", "Markdown", "JSON with Comments", "JSON", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\inscriptions%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\meeting%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\meetings.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\regions%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\regions%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\sideChannel%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\sideChannel%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\starts%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\starts%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\startsInGroups%40DBDisz.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\administration\startsInGroups%40oijoij.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\dump\testapp\sessions.metadata.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\mysqldump.sql", "SQL", 0, 850, 0, 0, 0, 0, 0, 0, 0, 270, 180, 1300
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\mysqldumpDuringRestore.sql", "SQL", 0, 850, 0, 0, 0, 0, 0, 0, 0, 270, 180, 1300
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\temp\mysqldumpReceived.sql", "SQL", 0, 850, 0, 0, 0, 0, 0, 0, 0, 270, 180, 1300
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\understandingAsyncPromises.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 79
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\v-table example.html", "HTML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\vMeetingsSelection.cjs", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 48
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\views\admin - Kopie.ejs", "HTML", 0, 0, 18, 0, 0, 0, 0, 0, 0, 9, 0, 27
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\views\admin.ejs", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 0, 13
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\views\adminServer.ejs", "HTML", 0, 0, 269, 0, 0, 0, 0, 0, 0, 18, 69, 356
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\views\athletes.ejs", "HTML", 0, 0, 1292, 0, 0, 0, 0, 0, 0, 27, 215, 1534
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\views\backup.ejs", "HTML", 0, 0, 607, 0, 0, 0, 0, 0, 0, 2, 46, 655
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\views\clubs.ejs", "HTML", 0, 0, 242, 0, 0, 0, 0, 0, 0, 2, 42, 286
